Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
3.12.2024 12:46:47,Kırmızı,Durdu,2,745749,11,82249
3.12.2024 12:46:47,Kırmızı,Durdu,2,634971,11,79006
3.12.2024 12:46:47,Kırmızı,Durdu,2,54036,11,76335
3.12.2024 12:46:47,Kırmızı,Durdu,2,449344,11,73858
3.12.2024 12:46:47,Kırmızı,Durdu,2,350724,11,71282
3.12.2024 12:46:47,Kırmızı,Durdu,2,256794,11,68927
3.12.2024 12:46:47,Kırmızı,Durdu,2,137454,11,66093
3.12.2024 12:46:47,Kırmızı,Durdu,2,015774,11,63368
3.12.2024 12:46:47,Kırmızı,Durdu,1,919809,11,6132
3.12.2024 12:46:47,Kırmızı,Durdu,1,826445,11,59426
3.12.2024 12:46:47,Kırmızı,Durdu,1,733523,11,57636
3.12.2024 12:46:47,Kırmızı,Durdu,1,63736,11,55887
3.12.2024 12:46:47,Kırmızı,Durdu,1,530421,11,54069
3.12.2024 12:46:47,Kırmızı,Durdu,1,436702,11,52573
3.12.2024 12:46:47,Kırmızı,Durdu,1,34683,11,51227
3.12.2024 12:46:47,Kırmızı,Durdu,1,252131,11,4991
3.12.2024 12:46:47,Kırmızı,Durdu,1,15546,11,48668
3.12.2024 12:46:47,Kırmızı,Durdu,1,042768,11,47363
3.12.2024 12:46:47,Kırmızı,Durdu,0,9417831,11,46306
3.12.2024 12:46:47,Kırmızı,Durdu,0,8342592,11,4531
3.12.2024 12:46:47,Kırmızı,Durdu,0,7444581,11,44567
3.12.2024 12:46:47,Kırmızı,Durdu,0,6563049,11,43924
3.12.2024 12:46:47,Kırmızı,Durdu,0,570462,11,43379
3.12.2024 12:46:47,Kırmızı,Durdu,0,482523,11,42908
3.12.2024 12:46:47,Kırmızı,Durdu,0,4005285,11,42543
3.12.2024 12:46:47,Kırmızı,Durdu,0,3101685,11,42232
3.12.2024 12:46:47,Kırmızı,Durdu,0,2312277,11,42029
3.12.2024 12:46:47,Kırmızı,Durdu,0,1384908,11,41886
3.12.2024 12:46:47,Kırmızı,Durdu,0,0356604,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
